200
5	4	6	10	20	5	100	100
35244	  9.00	  5.50	  3.50	  6.50	  7.50	  4.00	  2.00	  3.50	  1.50	 12.00	 13.50	 11.00	 17.50	  7.00	 14.50	 21.50	 38.00	  6.40	  2.75	 12.58	 37.69
32769	  6.00	  4.50	  6.00	  2.00	  6.00	  3.00	  2.00	  4.00	  2.50	  8.50	  8.50	  3.00	 13.50	 13.50	  9.50	 28.50	 78.00	  4.90	  2.88	  9.42	 57.58
35550	  3.50	  6.00	  5.50	  6.50	  5.50	  1.50	  2.50	  4.00	  4.00	 14.50	  9.00	  8.50	 10.50	 14.50	 13.00	 46.50	 54.00	  5.40	  3.00	 11.67	 52.48
31711	  9.00	  8.00	  7.50	  8.00	  7.50	  4.00	  3.50	  3.50	  4.00	 17.00	 18.00	 17.50	 17.00	 16.00	 16.50	 84.00	 82.50	  8.00	  3.75	 17.00	 82.70
35357	  8.00	  7.50	  9.00	  8.00	  8.50	  4.00	  4.00	  4.00	  4.50	 18.50	 16.00	 12.50	 14.50	 16.50	 18.00	 77.50	 72.00	  8.20	  4.12	 16.00	 75.47
33934	  7.50	  7.50	  8.50	  8.00	  7.50	  3.50	  4.00	  3.00	  4.00	 13.50	 15.50	 16.00	 13.50	 18.00	 17.00	 73.00	 81.00	  7.80	  3.62	 15.58	 77.72
30418	  4.50	  6.00	  7.00	  5.00	  5.00	  2.50	  4.00	  3.50	  3.50	  9.50	 17.50	 12.00	 13.00	 11.50	  6.50	 29.00	 42.00	  5.50	  3.38	 11.67	 41.66
31842	  4.50	  6.50	  4.50	  5.00	  5.50	  3.00	  3.50	  3.50	  0.50	  9.00	 13.50	  7.50	 10.00	 10.00	  4.00	 69.50	 58.50	  5.20	  2.62	  9.00	 59.82
39627	  5.50	  6.50	  4.00	  5.00	  6.50	  3.00	  1.00	  3.50	  3.00	  3.50	  8.00	  7.50	 13.00	  9.00	 13.50	 88.50	 82.00	  5.50	  2.62	  9.08	 77.47
39949	  7.00	  5.00	  3.00	  4.50	  4.50	  3.00	  3.00	  2.50	  1.00	  8.00	 13.50	  4.50	 12.00	 12.50	 10.50	 95.00	 45.00	  4.80	  2.38	 10.17	 60.86
37237	  7.50	  9.00	  8.50	  6.50	  8.00	  4.00	  3.50	  4.50	  4.00	 16.50	 13.50	 15.50	 19.50	 14.00	 14.00	 90.00	 88.50	  7.90	  4.00	 15.50	 86.95
35235	  5.00	  8.50	  7.50	  7.00	  7.50	  3.50	  2.50	  4.50	  1.50	  7.50	  9.00	  8.50	 15.00	 15.50	 10.00	 35.50	 60.50	  7.10	  3.00	 10.92	 52.91
37289	  4.50	  4.00	  5.00	  4.50	  7.50	  3.50	  4.00	  3.00	  1.50	 15.50	  8.00	 13.50	  6.50	 13.00	 10.50	 59.00	 29.50	  5.10	  3.00	 11.17	 43.58
36766	  7.00	  7.00	  7.00	  8.50	  9.00	  4.00	  4.00	  4.00	  4.00	 15.50	 16.00	 18.00	 14.50	 17.50	 18.50	 93.00	 75.00	  7.70	  4.00	 16.67	 81.58
39364	  6.00	  4.00	  7.00	  3.50	  4.00	  2.00	  2.00	  2.50	  1.50	  6.50	  7.00	 11.00	 13.50	 11.50	  3.00	  6.00	 31.00	  4.90	  2.00	  8.75	 26.12
30101	  8.00	  6.50	  9.50	  8.00	  7.50	  4.00	  3.50	  3.50	  4.00	 17.00	 16.50	 16.00	 14.50	 18.00	 14.00	 94.00	 61.00	  7.90	  3.75	 16.00	 74.40
37450	  5.00	  8.00	  8.00	  6.00	  6.00	  1.50	  2.00	  3.00	  3.50	 14.50	 14.00	 17.00	  8.00	 12.00	 11.50	 79.50	 69.50	  6.60	  2.50	 12.83	 70.82
